userid,number_of_courses_x,average_marks,average_login,weekend_login,weekday_login,midnight_login,early_morning_login,late_morning_login,afternoon_login,evening_login,night_login,no_of_viewed_courses,no_of_attendance_taken,no_of_all_files_downloaded,no_of_assignments,no_of_forum_created,number_of_quizzes,no_of_quizzes_completed,no_of_quizzes_attempt,number_of_courses_y,total_marks,num_days_active,total_events,num_unique_courses_accessed,num_forum_posts,num_resource_views
25039,2.0,47.15,39.5,3.5,36.0,4.0,6.0,6.5,17.5,5.0,0.5,169.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,2.0,94.3,49.0,490.0,2.0,0.0,164.0
25040,2.0,59.9,24.5,1.0,23.5,3.0,8.0,4.5,5.5,3.5,0.0,119.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,119.8,33.0,438.0,2.0,0.0,137.0
25041,3.0,70.33333333333333,36.66666666666666,9.0,27.666666666666668,9.0,7.333333333333333,3.0,14.666666666666666,2.333333333333333,0.3333333333333333,149.66666666666666,0.0,0.0,3.333333333333333,0.0,0.0,0.0,0.0,3.0,211.0,60.0,642.0,3.0,0.0,117.0
25042,2.0,74.5,57.5,12.5,45.0,10.0,15.0,14.5,13.0,2.5,2.5,212.5,0.0,0.5,4.5,0.0,0.0,0.0,0.0,2.0,149.0,57.0,713.0,4.0,0.0,185.0
25043,4.0,71.875,33.0,5.0,28.0,12.75,7.75,4.5,7.0,1.0,0.0,124.5,0.0,0.0,3.75,0.0,0.0,0.0,0.0,4.0,287.5,82.0,734.0,5.0,0.0,114.0
25044,4.0,67.875,29.5,3.75,25.75,4.75,7.75,8.75,7.5,0.0,0.75,120.5,0.0,0.0,5.25,0.0,0.0,0.0,0.0,4.0,271.5,54.0,810.0,5.0,0.0,181.0
25045,4.0,73.125,46.75,8.5,38.25,9.25,12.5,16.5,8.5,0.0,0.0,240.75,0.0,0.0,4.0,0.0,5.25,0.75,2.5,4.0,292.5,87.0,1408.0,5.0,4.0,296.0
25046,2.0,0.5,5.0,0.5,4.5,0.0,0.5,1.5,3.0,0.0,0.0,35.5,0.0,0.0,0.0,0.0,2.5,0.5,0.5,2.0,1.0,5.0,124.0,5.0,0.0,13.0
25047,4.0,76.5,27.0,3.25,23.75,6.5,4.0,10.25,5.75,0.5,0.0,166.75,0.0,0.0,2.5,0.0,11.5,1.0,1.75,4.0,306.0,59.0,1073.0,4.0,2.0,141.0
25048,5.0,76.7,35.8,10.4,25.4,6.4,7.6,9.4,9.4,2.4,0.6,166.6,0.0,0.0,5.0,0.0,2.6,0.4,3.8,5.0,383.5,93.0,1328.0,5.0,0.0,318.0
25049,4.0,6.75,11.5,1.5,10.0,2.0,2.25,4.5,2.75,0.0,0.0,49.5,0.0,0.0,0.75,0.0,0.5,0.25,0.5,4.0,27.0,23.0,287.0,4.0,2.0,61.0
25050,3.0,71.14666666666666,33.333333333333336,2.333333333333333,31.0,8.666666666666666,8.333333333333334,11.333333333333334,4.666666666666667,0.0,0.3333333333333333,242.3333333333333,0.0,0.0,5.333333333333333,0.0,4.333333333333333,0.6666666666666666,4.666666666666667,3.0,213.44,61.0,1182.0,3.0,0.0,325.0
25051,2.0,74.5,23.5,4.0,19.5,3.0,10.0,5.5,4.0,0.0,1.0,125.5,0.0,0.5,0.5,1.0,0.0,0.0,0.0,2.0,149.0,36.0,421.0,4.0,3.0,77.0
25052,3.0,82.53333333333335,28.0,3.333333333333333,24.666666666666668,4.666666666666667,5.666666666666667,11.0,6.333333333333333,0.3333333333333333,0.0,120.33333333333331,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,247.6,56.0,676.0,4.0,6.0,157.0
25053,2.0,72.75,11.5,1.5,10.0,3.5,2.5,2.5,3.0,0.0,0.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,145.5,17.0,82.0,2.0,0.0,47.0
25054,2.0,76.5,35.5,10.5,25.0,6.0,11.0,8.0,6.0,4.5,0.0,235.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,153.0,45.0,790.0,3.0,0.0,300.0
25055,2.0,84.05,70.0,9.5,60.5,14.0,19.0,19.0,12.5,5.5,0.0,373.5,0.0,0.0,5.5,0.0,4.0,0.5,5.0,2.0,168.1,77.0,1255.0,2.0,0.0,369.0
25056,3.0,62.43333333333334,33.666666666666664,3.6666666666666665,30.0,9.666666666666666,7.333333333333333,11.333333333333334,4.666666666666667,0.0,0.6666666666666666,146.33333333333334,0.0,0.0,3.0,0.0,0.3333333333333333,0.0,0.6666666666666666,3.0,187.3,61.0,747.0,5.0,0.0,287.0
25057,4.0,89.4375,49.0,9.25,39.75,6.75,14.25,17.25,10.25,0.25,0.25,169.25,0.0,10.5,6.25,0.25,3.75,0.75,5.75,4.0,357.75,92.0,1280.0,4.0,4.0,248.0
25058,3.0,68.58333333333333,39.0,4.666666666666667,34.333333333333336,7.666666666666667,9.333333333333334,11.333333333333334,10.0,0.3333333333333333,0.3333333333333333,199.0,0.0,10.333333333333334,2.6666666666666665,0.0,7.666666666666667,0.6666666666666666,4.666666666666667,3.0,205.75,59.0,887.0,3.0,0.0,174.0
25059,2.0,72.25,55.5,11.0,44.5,7.5,7.5,14.5,23.5,0.5,2.0,208.5,0.0,0.0,7.0,0.0,5.5,0.5,9.5,2.0,144.5,73.0,950.0,2.0,0.0,320.0
25060,3.0,83.83333333333333,42.66666666666666,4.666666666666667,38.0,13.0,4.333333333333333,16.666666666666668,8.333333333333334,0.0,0.3333333333333333,168.66666666666666,0.0,0.0,1.6666666666666667,0.0,6.666666666666667,1.6666666666666667,7.333333333333333,3.0,251.5,68.0,883.0,3.0,0.0,321.0
25061,2.0,74.725,49.5,25.0,24.5,10.5,3.0,16.5,16.5,2.5,0.5,305.0,0.0,0.0,15.0,0.0,6.5,1.5,6.0,2.0,149.45,51.0,1174.0,2.0,2.0,291.0
25062,3.0,77.51666666666667,63.0,4.666666666666667,58.333333333333336,14.0,13.0,18.0,15.666666666666666,2.333333333333333,0.0,349.6666666666667,0.0,0.3333333333333333,4.333333333333333,0.0,7.333333333333333,0.6666666666666666,1.3333333333333333,3.0,232.55,80.0,1489.0,4.0,0.0,286.0
25063,2.0,53.0,71.5,9.5,62.0,20.0,23.5,14.5,4.0,6.5,3.0,595.0,2.0,0.5,3.0,0.0,7.5,0.5,4.0,2.0,106.0,68.0,1560.0,4.0,2.0,403.0
25064,3.0,78.16666666666667,52.66666666666666,7.0,45.66666666666666,3.333333333333333,13.333333333333334,20.0,7.0,8.0,1.0,219.0,0.0,0.3333333333333333,3.333333333333333,0.0,7.333333333333333,1.0,5.333333333333333,3.0,234.5,60.0,1015.0,3.0,0.0,184.0
25065,2.0,75.625,23.5,10.0,13.5,5.5,5.5,4.5,2.0,0.5,5.5,96.5,0.0,0.0,1.5,1.5,0.0,0.0,0.0,2.0,151.25,33.0,403.0,2.0,12.0,54.0
25066,4.0,75.875,44.25,3.5,40.75,13.5,15.5,2.25,8.25,1.5,3.25,151.75,0.0,2.5,2.0,1.25,0.0,0.0,0.0,4.0,303.5,69.0,889.0,5.0,10.0,131.0
25067,2.0,0.0,14.5,8.5,6.0,12.0,1.5,0.5,0.5,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,183.0,1.0,0.0,66.0
